page;i;span;x_mm;y_mm;w_mm;h_mm;note_id;title_height_mm;body_height_mm;image_height_mm;img_mode;body_chars_fit;body_chars_overflow
2;1;1;12.70;102.40;48.60;152.68;2#1;16.00;136.68;0.00;none;1662;50
5;1;1;12.70;94.90;48.60;259.83;5#1;16.00;243.83;0.00;none;2965;5545
6;1;1;12.50;94.00;48.60;260.74;6#1;16.00;244.74;0.00;none;2976;7253
7;1;1;12.70;111.20;48.60;243.55;7#1;16.00;227.55;0.00;none;2767;783
8;1;1;12.70;101.80;48.60;177.76;8#1;16.00;161.76;0.00;none;1967;134
9;1;1;12.80;96.60;48.60;258.19;9#1;16.00;242.19;0.00;none;2945;402
10;1;1;12.70;80.70;48.60;269.95;10#1;16.00;253.95;0.00;none;3088;0
11;1;1;12.70;91.70;48.60;263.04;11#1;16.00;247.04;0.00;none;3004;1724
12;1;1;13.20;94.70;48.60;260.08;12#1;16.00;244.08;0.00;none;2968;1265
13;1;1;12.70;102.00;48.60;252.84;13#1;16.00;236.84;0.00;none;2880;1675
16;1;1;12.90;50.30;48.50;221.43;16#1;16.00;205.43;0.00;none;2498;401
17;1;1;13.50;100.20;48.50;256.87;17#1;16.00;240.87;0.00;none;2929;1129
18;1;1;13.10;102.70;48.60;251.94;18#1;16.00;235.94;0.00;none;2869;486
